wav,label,mezcla
vgge1660-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_MediumLow-clipping_20_40_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumLow
UAFP0036-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_Lowhight-clipping_09_5_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Lowhight
CPFA0178-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_MediumLow-clipping_20_40_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumLow
TGFA0135-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_MediumHight-clipping_5_10_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumHight
TFFA0046-noiseReverAndClipping-noise_0_5db_SNR-reverberacion_MediumHight-clipping_5_10_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumHight
UDFP0318-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_Lowhight-clipping_40_70_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_Lowhight
CIFA0090-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_Lowhight-clipping_5_10_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_Lowhight
UEFP0354-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_Lowhight-clipping_5_10_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Lowhight
CNFA0034-noiseReverAndClipping-noise_0_5db_SNR-reverberacion_Lowhight-clipping_40_70_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_Lowhight
tuge3011-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_Hight-clipping_09_5_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Hight
vege2570-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_MediumHight-clipping_40_70_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumHight
DCFP0146-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_Hight-clipping_5_10_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Hight
CKFA0053-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_MediumLow-clipping_09_5_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumLow
DFFP0260-noiseReverAndClipping-noise_0_5db_SNR-reverberacion_MediumLow-clipping_09_5_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumLow
