wav,label,mezcla
abge4002-noiseAndClipping-noise_5_10db_SNR-clipping_09_5_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_09_5_percent
eage1597-noiseAndClipping-noise_10_20db_SNR-clipping_20_40_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_20_40_percent
BIFA0001-noiseAndClipping-noise_10_20db_SNR-clipping_5_10_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_5_10_percent
zege2580-noiseAndClipping-noise_10_20db_SNR-clipping_09_5_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_09_5_percent
YBFP0216-noiseAndClipping-noise_10_20db_SNR-clipping_5_10_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_5_10_percent
DIFP0407-noiseAndClipping-noise_0_5db_SNR-clipping_20_40_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_20_40_percent
zjge0222-noiseAndClipping-noise_5_10db_SNR-clipping_40_70_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_40_70_percent
zfge2629-noiseAndClipping-noise_5_10db_SNR-clipping_20_40_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_20_40_percent
zige2104-noiseAndClipping-noise_0_5db_SNR-clipping_5_10_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_5_10_percent
BHFA0120-noiseAndClipping-noise_0_5db_SNR-clipping_20_40_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_20_40_percent
