wav,label,mezcla
XHFA0040-noiseAndRever-noise_0_5db_SNR-reverberacion_MediumLow.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumLow
XCFA0013-noiseAndRever-noise_10_20db_SNR-reverberacion_MediumLow.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumLow
XFFA0144-noiseAndRever-noise_10_20db_SNR-reverberacion_Lowhight.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_Lowhight
ekge2586-noiseAndRever-noise_5_10db_SNR-reverberacion_Hight.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Hight
vnge3879-noiseAndRever-noise_0_5db_SNR-reverberacion_MediumLow.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumLow
eige0981-noiseAndRever-noise_5_10db_SNR-reverberacion_MediumHight.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumHight
TKFA0030-noiseAndRever-noise_10_20db_SNR-reverberacion_MediumHight.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumHight
vkge0052-noiseAndRever-noise_0_5db_SNR-reverberacion_MediumLow.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumLow
XGFA0125-noiseAndRever-noise_10_20db_SNR-reverberacion_Lowhight.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_Lowhight
BXFA0175-noiseAndRever-noise_0_5db_SNR-reverberacion_Lowhight.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_Lowhight
XBFA0118-noiseAndRever-noise_10_20db_SNR-reverberacion_MediumLow.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumLow
TJFA0130-noiseAndRever-noise_10_20db_SNR-reverberacion_MediumHight.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumHight
CDFA0152-noiseAndRever-noise_10_20db_SNR-reverberacion_MediumLow.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumLow
byge3074-noiseAndRever-noise_10_20db_SNR-reverberacion_Lowhight.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_Lowhight
